Π中間子 	パイちゅうかんし	 pion (physics)
電球 	でんきゅう	 light bulb
電番 	でんばん	 telephone number, directory number
電磁 	でんじ	 electromagnetic (physics)
電磁気 	でんじき	 electromagnetism
電磁石 	でんじしゃく	 electromagnet
電算 	でんさん	 electronic computation or computer
電算機 	でんさんき	 electronic computer
電総研 	でんそうけん	 ETL, Electro-technical Laboratories (abbr)
電脳 	でんのう	 electronic brain
電荷結合素子 	でんかけつごうそし	 Charge-Coupled Device, CCD
電解 	でんかい	 electrolysis (vs), electrolytic (an) denkai 2  
電解コンデンサー 	でんかいコンデンサー	 electrolytic capacitor
電解槽 	でんかいそう	 electrolytic cell, electrolytic bath
電解液 	でんかいえき	 electrolyte, electrolytic solution
電解質 	でんかいしつ	 electrolyte
電話 	でんわ	 telephone (vs)
電話を切る 	でんわをきる	 to hang up the receiver (of a telephone)
電話中 	でんわちゅう	 during a telephone call, busy line
電話付き 	でんわつき	 with a telephone
電話回線 	でんわかいせん	 telephone line
電話室 	でんわしつ	 telephone booth (indoor)
電話局 	でんわきょく	 telephone company
電話帳 	でんわちょう	 telephone book
電話機 	でんわき	 telephone instrument
電話番号 	でんわばんごう	 telephone number
電話網 	でんわもう	 telephone network
電話線 	でんわせん	 telephone line
電話調査 	でんわちょうさ	 telephone survey
電車賃 	でんしゃちん	 train fare
電通大 	でんつうだい	 University of Electro-Communications (abbr)
電鉄 	でんてつ	 electric railway
電離 	でんり	 ionization (vs)
電離層 	でんりそう	 ionosphere
電顕 	でんけん	 electron microscope (id)
需品 	じゅひん	 supplies, quartermaster (mil)
需給 	じゅきゅう	 supply & demand
需要供給 	じゅようきょうきゅう	 supply & demand
震え 	ふるえ	 shivering, trembling
震える 	ふるえる	 to shiver, to shake, to quake
震え上がる 	ふるえあがる	 to tremble violently, to shudder up
震わせる 	ふるわせる	 to be shaking, to be trembling
震災 	しんさい	 earthquake disaster
震災地 	しんさいち	 area of an earthquake disaster
霊園 	れいえん	 cemetery
霊媒 	れいばい	 spirit medium
霊安室 	れいあんしつ	 morgue
霊峰 	れいほう	 sacred mountain
霊柩 	れいきゅう	 coffin, casket
霊柩車 	れいきゅうしゃ	 hearse
霊的 	れいてき	 spiritual (an), incorporeal
霊能 	れいのう	 spiritual ability
霊薬 	れいやく	 unusually effective medicine, miracle drug
霊長類 	れいちょうるい	 primates
霊魂 	れいこん	 soul, spirit
霊魂消滅 	れいこんしょうめつ	 annihilation
霍乱 	かくらん	 sunstroke, heatstroke
霙 	みぞれ	 sleet
霜 	しも	 frost
霜害 	そうがい	 frost damage
霜月 	しもつき	 November (obs), 11th lunar month
霜柱 	しもばしら	 frost columns, ice needles
霜焼け 	しもやけ	 frostbite, chilblains shimoyake 2  
霜解け 	しもどけ	 thaw, thawing
霜降り 	しもふり	 frosting, grey, gray, salt & pepper colour
霜雰 	そうふん	 frosty air
霞 	かすみ	 mist
霞む 	かすむ	 to grow hazy, to be misty
霞ヶ関 	かすみがせき	 Japanese Foreign Ministry (euph)
霧雨 	きりさめ	 drizzle, light rain
霧雰 	むふん	 misty air
露わ 	あらわ	 exposure
露光 	ろこう	 (photographic) exposure
露出 	ろしゅつ	 exposure (vs)
露出症 	ろしゅつしょう	 exhibitionism
露呈 	ろてい	 exposure, disclosure
露営 	ろえい	 bivouac
露天 	ろてん	 open air roten 2  
露天風呂 	ろてんぶろ	 open air bath, rotemburo
露骨 	ろこつ	 frank, blunt, plain, open
霹靂 	へきれき	 thunder, thunderclap
靄 	もや	 haze
靄の掛かった 	もやのかかった	 hazy (id)
靉靆たる 	あいたいたる	 trailing clouds
青 	あお	 blue, green, green light
青々 	あおあお	 verdant, fresh and green, bright green, lush aoao 2  
青い果実 	あおいかじつ	 unripe (green) fruit
青ざめる 	あおざめる	 to become pale
青二才 	あおにさい	 green (immature) youth, novice, greenhorn
青信号 	あおしんごう	 green light
青図 	あおず	 blueprint
青天の霹靂 	せいてんのへきれき	 a bolt out of the blue (id)
青天井 	あおてんじょう	 blue sky, outdoor, skyrocketing
青天井予算 	あおてんじょうよさん	 limitless budget
青天白日 	せいてんはくじつ	 be cleared of all the charge (brought against one), be found completely innocent
青少年 	せいしょうねん	 youth, young person
青嵐 	あおあらし	 wind blowing through verdure, mountain air
青懸巣 	あおかけす	 blue jay
青春 	せいしゅん	 youth (a-no), springtime of life, adolescent
青春期 	せいしゅんき	 puberty, pubertal (an), pubescent
青森県 	あおもりけん	 prefecture in the Touhoku area
青浮草 	あおうきくさ	 duckweed aoukikusa 2  
青海原 	あおうなばら	 the blue sea
青物 	あおもの	 vegetables, green stuff
青玉 	せいぎょく	 sapphire, jacinth
青田買い 	あおたがい	 recruiting of students
青畳 	あおだたみ	 new mat
青白い 	あおじろい	 pale, pallid
青砥 	あおと	 medium-grade millstone
青空 	あおぞら	 blue sky
青空市場 	あおぞらいちば	 free market
青空市場 	あおぞらしじょう	 open-air market
青筋 	あおすじ	 vein (esp. in head)
青紫蘇 	あおじそ	 green beefsteak plant (uk), green perilla
青膨れ 	あおぶくれ	 dropsical (blue-green) swelling
青臭い 	あおくさい	 inexperienced, immature, grassy-smelling
青色 	あおいろ	 blue
青草 	あおくさ	 green grass
青菜 	あおな	 greens
青藍色 	せいらんしょく	 livid (an)
青虫 	あおむし	 caterpillar
青銅器時代 	せいどうきじだい	 Bronze Age
青銅色 	せいどうしょく	 bronze, bronzed (an)
青黴 	あおかび	 blue mold, Penicillium
静か 	しずか	 quiet (an), peaceful
静けさ 	しずけさ	 stillness, silence, hush, calm, serenity
静まる 	しずまる	 to quieten down, to calm down, to subside, to die down, to abate, to be suppressed shizumaru 2  
静める 	しずめる	 to appease (vt), to suppress, to calm shizumeru 2  
静寂 	せいじゃく	 silence
静岡県 	しずおかけん	 prefecture in the Chuubu area
静止画 	せいしが	 still image
静止衛星 	せいしえいせい	 satellite in geosynchronous orbit
静止軌道 	せいしきどう	 geostationary orbit, geosynchronous orbit
静粛 	せいしゅく	 silent
静脈 	じょうみゃく	 vein
静観 	せいかん	 watchful waiting, careful supervision
静電容量 	せいでんようりょう	 capacitance, electrostatic capacity
非人間的 	ひにんげんてき	 inhuman, impersonal
非公式 	ひこうしき	 informal (an)
非公式協議 	ひこうしききょうぎ	 informal discussion
非公開 	ひこうかい	 private
非凡 	ひぼん	 prodigy (an), rare, unique, extraordinary
非力 	ひりき	 powerless (an)
非可換ゲージ理論 	ひかかんゲージりろん	 non-Abelian gauge theory (physics)
非可換群 	ひかかんぐん	 non-Abelian group (physics)
非合法 	ひごうほう	 illegal (an) (a-no), unlawful
非同期 	ひどうき	 asynchronous
非同期通信 	ひどうきつうしん	 asynchronous communication
非喫煙者 	ひきつえんしゃ	 non-smoker
非営利 	ひえいり	 non-profit, not-for-profit, non-commercial
非売品 	ひばいひん	 article not for sale, Not for sale
非変換 	ひへんかん	 non-conversion
非実際的 	ひじっさいてき	 impractical, unpractical
非対応 	ひたいおう	 incompatible, unsupported
非局所分岐 	ひきょくしょぶんき	 non-local jump
非常 	ひじょう	 emergency, extraordinary, unusual hijou 2  
非常に 	ひじょうに	 very, extremely, exceedingly
非常ブレーキ 	ひじょうブレーキ	 emergency brake
非常事態 	ひじょうじたい	 state of emergency
非常事態を宣言する 	ひじょうじたいをせんげんする	 to declare a state of emergency
非常事態対処計画 	ひじょうじたいたいしょけいかく	 contingency plan
非常信号 	ひじょうしんごう	 alarm
非常口 	ひじょうぐち	 emergency exit
非常用 	ひじょうよう	 for emergency use
非常線 	ひじょうせん	 cordon
非常識 	ひじょうしき	 lack of common sense
非政府組織 	ひせいふそしき	 non-governmental organization (NGO)
非標準拡張 	ひひょうじゅんかくちょう	 nonstandard extension
非民主 	ひみんしゅ	 undemocratic
非活動 	ひかつどう	 inactive
非活動ウィンドウ 	ひかつどうウィンドウ	 inactive window
非現実的 	ひげんじつてき	 unrealistic
非生産的 	ひせいさんてき	 non-business related
非社交的 	ひじゃこうてき	 unsociable (an), antisocial
非線形 	ひせんけい	 non-linear
非良心的 	ひりょうしんてき	 unscrupulous (an), dishonest, irresponsibly done (work, etc.)
非行 	ひこう	 delinquency, misconduct hikou 2  
非行に走らせる 	ひこうにはしらせる	 to turn (child) to crime
非許容 	ひきょよう	 not enabled, not permitted
非課税 	ひかぜい	 tax exemption
非論理的 	ひろんりてき	 illogical
非開示合意 	ひかいじごうい	 non-disclosure agreement
靡かす 	なびかす	 to seduce, to win over, to conquer
靡かせる 	なびかせる	 to fly, to flutter, to win over, to win one's heart, to subdue
靡く 	なびく	 to bend (vi), to flutter, to wave, to bow to, to yield to, to obey, to be swayed by
面 	つら	 face, mug, surface
面々 	めんめん	 each one, all, every direction memmen 2  
面する 	めんする	 to face on, to look out on to
面会 	めんかい	 interview
面倒 	めんどう	 trouble (an), difficulty, care, attention
面倒臭い 	めんどうくさい	 bother to do, tiresome
面前 	めんぜん	 presence
面子 	めんこ	 game of slapping cards down to overturn opponent's
面影 	おもかげ	 face, looks, vestiges, trace
面従腹背 	めんじゅうふくはい	 pretending to obey but secretly betraying (someone)
面接 	めんせつ	 interview
面汚し 	つらよごし	 disgrace, shame
面画 	めんが	 surface-drawing
面白 	おもしろ	 amusing, interesting
面白い 	おもしろい	 interesting, amusing
面白み 	おもしろみ	 interest, fun omoshiromi 2  
面皰 	にきび	 pimple, acne
面目 	めんぼく	 face, honor, dignity, credit
面目 	めんもく	 honour, reputation, prestige
面相 	めんそう	 countenance, features, looks
面相筆 	めんそうふで	 fine-point brushes
面食い 	めんくい	 attracted by physical looks only
面食らう 	めんくらう	 to be confused (bewildered, taken aback)
靨 	えくぼ	 a dimple
革命 	かくめい	 revolution
革命的 	かくめいてき	 revolutionary (e.g. technology)
革命運動 	かくめいうんどう	 revolutionary movement
革新的 	かくしんてき	 liberal (an)
革新系 	かくしんけい	 liberal
革靴 	かわぐつ	 leather boots
靱皮 	じんぴ	 soft leather
靴 	くつ	 shoes, footwear kutsu 2  
靴一足 	くついっそく	 pair of shoes
靴下 	くつした	 socks
靴型 	くつがた	 shoe last, shoe stretcher
靴墨 	くつずみ	 shoe polish
靴屋 	くつや	 shoemaker, shoe store
靴底 	くつぞこ	 shoe sole
靴擦れ 	くつずれ	 shoe sore
靴直し 	くつなおし	 shoe repair
靴磨き 	くつみがき	 shoeshine, shoe polishing
靴箆 	くつべら	 shoehorn
靴紐 	くつひも	 shoelace
靴音 	くつおと	 walking sound, footsteps
靺鞨 	まっかつ	 Makkatsu, Manchurian province that existed in 700-800 AD
鞍替え 	くらがえ	 changing jobs, changing quarters (geisha, etc.)
鞘 	さや	 scabbard saya 2  
鞠 	まり	 ball
鞦韆 	ぶらんこ	 swing
鞭撻 	べんたつ	 encouragement (vs), enthusiasm, urging
韋陀天 	いだてん	 Wei-To (Buddhist temple guardian sometimes confused with Vajrapani)
韓人 	からびと	 Korean person (elegant term)
韓国人 	かんこくじん	 Korean person
韓国語 	はんこくご	 Korean language
韜略 	とうりゃく	 strategy, tactics
韮 	にら	 leek, scallion
韮葱 	にらねぎ	 leek
韲える 	あえる	 to dress vegetables (salad)
韲物 	あえもの	 vegetable side dish
音 	おと	 sound oto 2  
音 	ね	 sound, note ne 2  
音の速度 	おとのそくど	 velocity of sound
音を立てる 	おとをたてる	 to make a sound
音価 	おんか	 phonetic value
音信 	おんしん	 correspondence, news, letter, tidings
音像 	おんぞう	 stereo image (audio)
音力 	おんりょく	 strength of the voice
音叉 	おんさ	 tuning fork
音域 	おんいき	 singing range, register
音域外 	おんいきがい	 outside the singing range, outside the musical register
音声 	おんせい	 voice, (the concept of) sound
音声学 	おんせいがく	 phonetics
音大 	おんだい	 College of Music (abbr)
音字 	おんじ	 syllabary, phonetic symbol
音律 	おんりつ	 metre, rhythm
音感 	おんかん	 sense of sound
音曲 	おんぎょく	 songs with samisen accomp., musical performance
音楽 	おんがく	 music
音楽の素質 	おんがくのそしつ	 aptitude for music
音楽会 	おんがくかい	 concert, recital
音楽史 	おんがくし	 music history
音楽大学 	おんがくだいがく	 College of Music
音標文字 	おんぴょうもじ	 phonetic symbols
音沙汰 	おとさた	 news, letter
音波 	おんぱ	 sound wave
音源 	おんげん	 sound source
音痴 	おんち	 tone deafness
音盤 	おんばん	 disk, record
音程 	おんてい	 musical interval, step
音符 	おんぷ	 (musical) note ompu 2  
音節 	おんせつ	 syllable
音素 	おんそ	 phoneme
音締 	ねじめ	 tune nejime 2  
音色 	おんいろ	 tone color, tone quality
音色 	ねいろ	 tone quality, timbre
音訓 	おんくん	 kanji readings
音訳 	おんやく	 transliteration
音読 	おんどく	 reading aloud (vs)
音読み 	おんよみ	 on (Chinese) reading of kanji
音速 	おんそく	 speed of sound
音部記号 	おんぶきごう	 (musical) clef
音階 	おんかい	 musical scale
音韻 	おんいん	 vocal sound, phoneme
音韻学 	おんいんがく	 phonetics, phonology
音響 	おんきょう	 sound, noise, echo, acoustic(s)
音響カプラー 	おんきょうカプラー	 acoustic coupler
韻律 	いんりつ	 rhythm, metre (poet)
韻脚 	いんきゃく	 metrical foot (poet.)
響 	ひびき	 (io) echo, sound, reverberation, noise hibiki 2  
響き渡る 	ひびきわたる	 to resound
響く 	ひびく	 to resound
頁 	ぺいじ	 (uk) page
頁数 	ページすう	 number of pages
頂 	いただき	 (top of) head, summit, spire
頂戴 	ちょうだい	 please, reception (vs), being given, get
頂点 	ちょうてん	 top, summit
頃 	ころ	 time, about, toward
頃合い 	ころあい	 suitable time, propriety, moderation
項 	うなじ	 nape, nucha
項書換え 	こうかきかえ	 term rewriting
項目 	こうもく	 item
項目ヘルプ 	こうもくヘルプ	 contextual help
順々 	じゅんじゅん	 in order, in turn
順々に 	じゅんじゅんに	 in order, in turn junjunni 2  
順に 	じゅんに	 in order, in turn, one by one
順にいう 	じゅんにいう	 to state in order, to sequence
順列 	じゅんれつ	 permutation
順境 	じゅんきょう	 favorable circumstances
順序 	じゅんじょ	 order, sequence, procedure
順序不同 	じゅんじょふどう	 unordered, random order
順序立てる 	じゅんじょたてる	 to put into order, to arrange (one's thoughts)
順序通り 	じゅんじょどおり	 in (the proper) order, in (the correct) sequence
順応 	じゅんのう	 adaptation (vs), sympathy
順次 	じゅんじ	 in order
順番 	じゅんばん	 turn (in line), order of things
順繰り 	じゅんぐり	 in turn, order
順調 	じゅんちょう	 favourable (an), doing well, O.K., all right
順風 	じゅんぶう	 favourable wind
順風 	じゅんぷう	 favourable wind
順風満帆 	じゅんぷうまんぱん	 smooth sailing
預かり 	あずかり	 custody, undecided match, draw, tie
預かり所 	あずかりしょ	 cloakroom, parcel room
預かり所 	あずかりじょ	 cloakroom, parcel room
預かり物 	あずかりもの	 something left in charge
預け 	あずけ	 custody, keeping
預ける 	あずける	 to give into custody (vt), to leave (a child) in the care of, to entrust, to deposit
預け入れる 	あずけいれる	 to make a deposit
預け金 	あずけきん	 key money
預金 	よきん	 deposit (vs), bank account
頑 	かたくな	 obstinate (an)(uk)
頑丈 	がんじょう	 solid (an), firm, stout, burly, strong, sturdy ganjou 2  
頑健 	がんけん	 robust health, able-bodied (an)
頑冥 	がんめい	 stubbornness gammei 2  
頑固 	がんこ	 stubbornness (an), obstinacy
頑張る 	がんばる	 to persist, to insist on, to stand firm, to try one's best
頒布 	はんぷ	 distribution (vs)
頓死 	とんし	 sudden death
頓珍漢 	とんちんかん	 absurdity, contradiction
頓着しない 	とんちゃくしない	 do not care about (id), do not mind
領事 	りょうじ	 consul ryouji 2  
領事館 	りょうじかん	 consulate
領収 	りょうしゅう	 receipt, voucher
領収書 	りょうしゅうしょ	 receipt
領収証 	りょうしゅうしょう	 receipt
領域 	りょういき	 area, domain, territory, field, region, regime
領布 	りょうふ	 area distribution
頚動脈 	けいどうみゃく	 carotid artery
頚巻き 	くびまき	 carotid artery
頚肉 	けいにく	 neck flesh keiniku 2  
頚静脈 	けいじょうみゃく	 jugular vein
頬 	ほお	 cheek (of face)
頬 	ほほ	 cheek (of face)
頬っぺた 	ほっぺた	 cheek
頬づえをつく 	ほおづえをつく	 to rest one's chin in one's hands hooduewotsuku 2  
頬紅 	ほおべに	 rouge
頬骨 	ほおぼね	 cheekbones
頬髭 	ほおひげ	 whiskers, sideburns, sideboards
頭 	あたま	 head
頭がおかしい 	あたまがおかしい	 insane
頭つきをする 	ずつきをする	 to butt heads
頭に来る 	あたまにくる	 to get mad, to get pissed off, to get angry
頭を冷やす 	あたまをひやす	 to cool down one's anger
頭を悩ます 	あたまをなやます	 to rack one's brains
頭を痛める 	あたまをいためる	 to be concerned about
頭上 	ずじょう	 overhead, high in sky
頭割り 	あたまわり	 sharing, capitation
頭取 	とうどり	 (bank) president
頭巾 	ずきん	 hood, kerchief
頭打ち 	ずうち	 reaching a peak, reaching the limit
頭打ち 	あたまうち	 reaching a peak, reaching the limit
頭数 	とうすう	 head count, numerical strength
頭数 	あたまかず	 number of persons, numerical strength
頭文字 	かしらもじ	 initials, first letter of a word
頭株 	あたまかぶ	 chief, leader
頭痛 	ずつう	 headache
頭目 	とうもく	 chief, head, leader
頭脳 	ずのう	 head, brains, intellect
頭蓋骨 	ずがいこつ	 skull, cranium
頭虱 	あたましらみ	 head louse, head lice
頭角を表わす 	とうかくをあらわす	 to distinguish oneself, to stand out
頭金 	あたまきん	 down payment, deposit
頭隠して尻隠さず 	あたまかくしてしりかくさず	 don't cover your head and leave your bottom exposed, you have to be careful not to expose your weak point while attempting to protect yourself (id)
頭頂部 	とうちょうぶ	 calvaria, area at top of head, parietal
頭骨 	とうこつ	 skull toukotsu 2  
頭髪 	とうはつ	 hair (of head)
頷いて 	うなずいて	 (uk) with a nod
頷く 	うなずく	 (uk) to nod, to bow one's head in assent
頻々 	ひんぴん	 frequently, very often himpin 2  
頻出 	ひんしゅつ	 common, frequent
頻発 	ひんぱつ	 frequency, frequent occurrence
頻繁 	ひんぱん	 frequency
頼み込む 	たのみこむ	 to request earnestly
頼む 	たのむ	 to request, to beg, to ask
頼もしい 	たのもしい	 reliable, trustworthy, hopeful, promising
頼りない 	たよりない	 unreliable, undependable, flaky
頼信紙 	らいしんし	 telegram form, telegram blank
題名 	だいめい	 title
題材 	だいざい	 subject, theme
題目 	だいもく	 title of a book, heading
額 	がく	 picture (framed), amount or sum (of money)
額 	ひたい	 forehead, brow
額が少ない 	がくがすくない	 to be insufficient (money or things)
額縁 	がくぶち	 picture frame
額面 	がくめん	 face value, par
額面割れ 	がくめんわれ	 drop below par
顎 	あご	 chin ago 2  
顎骨 	あごぼね	 jawbone
顎骨 	がっこつ	 jawbone
顔 	かお	 face (person)
顔から火が出る 	かおからひがでる	 to be extremely embarrassed, to burn with shame
顔ぶれ 	かおぶれ	 member kaobure 2  
顔をしかめる 	かおをしかめる	 to grimace, to frown
顔をつぶす 	かおをつぶす	 to cause loss of face
顔を合わせる 	かおをあわせる	 to meet, to face someone
顔を立てる 	かおをたてる	 to save face
顔付き 	かおつき	 looks, features
顔写真 	かおじゃしん	 photographic portrait
顔合せ 	かおあわせ	 meeting together (vs), introduction kaoawase 2  
顔形 	かおかたち	 features, looks
顔役 	かおやく	 influential man, boss
顔立ち 	かおだち	 looks, features
顔色 	かおいろ	 complexion
顔色 	がんしょく	 complexion, countenance, expression
顔面 	がんめん	 face (of person) gammen 2  
顔馴染 	かおなじみ	 acquaintance, friend, familiar face kaonajimi 2  
顕微鏡 	けんびきょう	 microscope
顕花植物 	けんかしょくぶつ	 flowering plant
顕著 	けんちょ	 remarkable (an), striking, obvious
願い 	ねがい	 desire, wish, request, prayer, petition, application
願い下げる 	ねがいさげる	 to withdraw a request
願い事 	ねがいごと	 wish, dream, prayer, one's desire negaigoto 2  
願い出 	ねがいで	 application, petition
願い出る 	ねがいでる	 to apply for
願い求める 	ねがいもとめる	 to entreat
願う 	ねがう	 to desire, to wish, to request, to beg, to hope, to implore
願ったり叶ったり 	ねがったりかなったり	 everything working out as desired
願わくわ 	ねがわくわ	 I pray
願わしい 	ねがわしい	 desirable
願掛け 	がんがけ	 Shinto or Buddhist prayer
願文 	がんもん	 Shinto or Buddhist prayer (read)
願望 	がんぼう	 desire, wish, aspiration
願望 	がんもう	 desire, wish, aspiration
願立て 	がんだて	 Shinto or Buddhist prayer
願解き 	がんほどき	 release from a vow
顛末 	てんまつ	 circumstance, facts, details
類 	たぐい	 a kind tagui 2  
類人猿 	るいじんえん	 anthropoid, troglodyte
類似 	るいじ	 analogous
類別 	るいべつ	 classification
類型的 	るいけいてき	 stereotyped (an), patterned, typical
類推 	るいすい	 analogy
類比 	るいひ	 analogy
類義語 	るいぎご	 synonym
類義語辞典 	るいぎごじてん	 thesaurus
類語 	るいご	 synonym
類韻 	るいいん	 assonance
顧みる 	かえりみる	 to look back, to turn around, to review kaerimiru 2  
顧客 	こきゃく	 customer, patron, client
顧慮 	こりょ	 concern (vs), solicitude, consideration
顰める 	しかめる	 (uk) to knit the brows, to scowl, to grimace, to frown
顰蹙 	ひんしゅく	 frown on, be shocked at
顰蹙を買う 	ひんしゅくをかう	 to displease someone, to make someone disgusted, to be frowned at
風 	かぜ	 wind, breeze kaze 2  
風下 	かざしも	 leeward, lee
風体 	ふうてい	 appearance, look, dress
風俗 	ふうぞく	 manners, customs
風光絶佳 	ふうこうぜっか	 scenic beauty
風力 	ふうりょく	 wind power
風化 	ふうか	 weathering (vs)
風向き 	かざむき	 wind's direction
風呂 	ふろ	 bath
風呂場 	ふろば	 bathroom
風呂屋 	ふろや	 public bath
風呂敷 	ふろしき	 wrapping cloth, cloth wrapper
風呂桶 	ふろおけ	 bath tub
風呂釜 	ふろがま	 bath heater
風土 	ふうど	 natural features, topography, climate, spiritual features
風土病 	ふうどびょう	 endemic disease, local disease
風当たり 	かぜあたり	 wind blowing against, being subject to outside pressures or criticism, oppression kazeatari 2  
風景 	ふうけい	 scenery
風格 	ふうかく	 personality, style, appearance
風水 	フウスイ	 Chinese geomancy, feng shui
風流 	ふうりゅう	 elegance, taste, refinement
風潮 	ふうちょう	 tide, current, tendency
風物 	ふうぶつ	 natural features
風琴 	ふうきん	 organ, harmonium
風疹 	ふうしん	 rubella, German measles
風穴 	かざあな	 air hole, windhole
風穴 	かぜあな	 air hole, ventilator
風紀紊乱 	ふうきびんらん	 corrupt public morals
風習 	ふうしゅう	 custom
風聞 	ふうぶん	 rumour, hearsay, report
風致地区 	ふうちちく	 scenic zone, landscape area
風船 	ふうせん	 balloon
風袋 	ふうたい	 packing
風諭 	ふうゆ	 allegory
風車 	かざぐるま	 windmill
風通し 	かぜとおし	 ventilation
風速 	ふうそく	 wind speed
風邪 	ふうじゃ	 cold (illness), common cold
風邪をひく 	かぜをひく	 to catch a cold
風鈴 	ふうりん	 wind chime, wind bell
風雅 	ふうが	 elegance, grace, refinement, good taste
風雨 	ふうう	 wind and rain
風雪 	ふうせつ	 wind and snow, snowstorm, hardships
風雲 	ふううん	 winds and clouds, elements, situation, state of affairs
風靡 	ふうび	 overwhelming (vs), conquer, dominate
颯爽 	さっそう	 gallant, dashing
颶風 	ぐふう	 tornado, hurricane, typhoon
飛ばす 	とばす	 to skip over, to omit
飛び下りる 	とびおりる	 to jump down, to jump off tobioriru 2  
飛び乗る 	とびのる	 to jump on
飛び交う 	とびかう	 to fly about, to flutter about, to fly past each other
飛び付く 	とびつく	 to jump at, to be attracted by
飛び出しナイフ 	とびだしナイフ	 switchblade
飛び出す 	とびだす	 to jump out, to rush out, to fly out, to appear suddenly, to protrude, to project
飛び出る 	とびでる	 to be exorbitant (e.g. price), to be ridiculously high
飛び切り 	とびきり	 extraordinary (a-no), superior, choice tobikiri 2  
飛び去る 	とびさる	 to flee away, to scatter
飛び回る 	とびまわる	 to fly about, to skip about, to bustle about
飛び掛かる 	とびかかる	 to spring upon
飛び散る 	とびちる	 to fly around, to scatter
飛び歩く 	とびあるく	 to walk about
飛び火 	とびひ	 flying sparks, leaping flames tobihi 2  
飛び石 	とびいし	 stepping-stones tobiishi 2  
飛び移る 	とびうつる	 to jump from one thing to another
飛び立つ 	とびたつ	 to jump up, to start up, to leap to one's feet, to fly away, to take off
飛び起きる 	とびおきる	 to jump up to one's feet
飛び越える 	とびこえる	 to jump over, to clear, to walk over (someone)
飛び越す 	とびこす	 to leap over
飛び跳ねる 	とびはねる	 to jump up and down
飛び込み 	とびこみ	 jump, plunge, dive tobikomi 2  
飛び込み台 	とびこみだい	 diving board
飛び込む 	とびこむ	 to jump in, to leap in, to plunge into, to dive tobikomu 2  
飛び退く 	とびのく	 to jump back
飛び離れる 	とびはなれる	 to fly apart, to tower over, to be out of the ordinary
飛び魚 	とびうお	 flying fish tobiuo 2  
飛来 	ひらい	 come flying (vs) (of migrating birds)
飛沫 	しぶき	 splash (uk), spray
飛沫 	ひまつ	 splash, spray
飛竜 	ひりゅう	 flying dragon
飛行場 	ひこうじょう	 airport
飛行士 	ひこうし	 pilot
飛行家 	ひこうか	 aviator, pilot
飛行時間 	ひこうじかん	 flight time, number of flight hours
飛行機 	ひこうき	 aeroplane
飛行禁止空域 	ひこうきんしくういき	 no-fly zone
飛行船 	ひこうせん	 airship, blimp
飛行記録装置 	ひこうきろくそうち	 flight recorder
飛躍的 	ひやくてき	 rapidly (an)
飛鳥時代 	あすかじだい	 Asuka period (550-710 CE)
食いしん坊 	くいしんぼう	 glutton (a-no), gourmand
食い付く 	くいつく	 to bite at, to nibble, to hold with the teeth
食い倒す 	くいたおす	 to bilk, to eat up one's fortune
食い入る 	くいいる	 to eat into
食い合わす 	くいあわす	 to clench
食い延ばす 	くいのばす	 to keep alive on, to stretch food to make ends meet kuinobasu 2  
食い散らす 	くいちらす	 to eat untidily, to eat a bit of everything
食い止める 	くいとめる	 to check, to hold back
食い殺す 	くいころす	 to devour, to bite to death
食い気 	くいけ	 appetite
食い潰す 	くいつぶす	 to run through one's fortune in idleness
食い荒らす 	くいあらす	 to devour, to work a various things, to eat some of everything
食い詰める 	くいつめる	 to go broke
食い込む 	くいこむ	 to eat into
食い逃げ 	くいにげ	 running away without paying for food (vs), bilk
食い逸れ 	くいはぐれ	 missing a meal, losing means to make one's livelihood
食い逸れる 	くいはぐれる	 to miss a meal, to lose the means to make one's livelihood
食い違い 	くいちがい	 discrepancy, different or conflicting opinions
食い違う 	くいちがう	 to cross each other, to run counter to, to differ, to clash, to go awry
食えない 	くえない	 shrewd, smart (and wide-awake), cunning, crafty
食べる 	たべる	 to eat
食べ放題 	たべほうだい	 all you can eat (id), smorgasbord
食べ散らす 	たべちらす	 to eat a bit of everything
食べ方 	たべかた	 way of eating, how to eat
食べ残し 	たべのこし	 leftover
食べ物 	たべもの	 food
食べ物屋 	たべものや	 eating place
食べ過ぎ 	たべすぎ	 overeating
食べ過ぎる 	たべすぎる	 to overeat
食べ難い 	たべにくい	 difficult to eat
食み出る 	はみでる	 to jut out (of bounds), be crowded out
食らわす 	くらわす	 to make s'one eat, to deal (a blow), to play (a trick)
食パン 	しょくパン	 plain bread
食事付き 	しょくじつき	 with meals
食刻 	しょっこく	 to etch, to engrave
食前 	しょくぜん	 before meals
食品 	しょくひん	 commodity, foodstuff
食品添加物 	しょくひんてんかぶつ	 food additive
食堂 	しょくどう	 cafeteria, dining hall shokudou 2  
食堂車 	しょくどうしゃ	 dining car
食塩 	しょくえん	 table salt
食客 	しょっきゃく	 house guest, (euph.) free-loader
食後 	しょくご	 after a meal
食指 	しょくし	 forefinger, index finger
食指が動く 	しょくしがうごく	 to desire to secure
食料 	しょくりょう	 food shokuryou 2  
食料品 	しょくりょうひん	 foodstuff, groceries
食欲 	しょくよく	 appetite
食物 	しょくもつ	 food, foodstuff
食物油 	しょくぶつゆ	 vegetable oil
食物繊維 	しょくもつせんい	 dietary fiber, dietary fibre
食生活 	しょくせいかつ	 eating habits
食管法 	しょっかんほう	 law governing food quality
