嗚呼	ああ	Ah!, Oh!, Alas!		[sound:SPXJ00001.mp3]
空しい	むなしい	vacant, futile, vain, void, empty, ineffective, lifeless	【形】  空虚的; 空洞的; 徒然的; 枉然的	[sound:SPXJ74162.mp3]
無念	むねん	chagrin, regret	【名】  【形動】  不注意; 不留心; 不周到	[sound:SPXJ74207.mp3]
無能	むのう	inefficiency, incompetence	【名】  【形動】  无才能; 无用	[sound:SPXJ74208.mp3]
無闇に	むやみに	unreasonably, absurdly, recklessly, indiscreetly, at random		
無用	むよう	useless, futility, needlessness, unnecessariness	【名】  【形動】  没有用处; 不起作用; 没必要; 无需; 没事; 无事; 不许; 不得	[sound:SPXJ74261.mp3]
群がる	むらがる	to swarm, to gather	【自五】  聚众; 群聚	[sound:SPXJ74268.mp3]
無論	むろん	of course, naturally	【副】  不用说; 当然(同もちろん)	[sound:SPXJ74345.mp3]
名産	めいさん	noted product	【名】  名产	[sound:SPXJ74428.mp3]
名称	めいしょう	name	【名】  名称(一般指对事物的称呼)	[sound:SPXJ74457.mp3]
命中	めいちゅう	a hit	【名】  【自サ】  命中	[sound:SPXJ74498.mp3]
名簿	めいぼ	register of names	【名】  名簿; 名册	[sound:SPXJ74538.mp3]
名誉	めいよ	honor, credit, prestige	【名】  【形動】  名誉; 荣誉; 体面	[sound:SPXJ74568.mp3]
明瞭	めいりょう	clarity	【名】  【形動】  明了; 明确	[sound:SPXJ74575.mp3]
明朗	めいろう	bright, clear, cheerful	【名】  【形動】  明朗; 清明; 公正	[sound:SPXJ74583.mp3]
目方	めかた	weight	【名】  重量; 分量	[sound:SPXJ74636.mp3]
恵み	めぐみ	blessing	【名】  恩惠	[sound:SPXJ74672.mp3]
恵む	めぐむ	to bless, to show mercy to	【他五】  施恩惠; 救济; 恩赐; 施舍	[sound:SPXJ74674.mp3]
目覚しい	めざましい	brilliant, splendid, striking, remarkable		
目覚める	めざめる	to wake up	【自下一】  睡醒; 觉悟; 觉醒; (意识, 本能等)发生; 发动	[sound:SPXJ74705.mp3]
召す	めす	to call, to send for, to put on, to wear, to take (a bath), to ride in, to buy, to eat, to drink, to catch (a	【他五】  召见; 召唤; 吃; 喝; 穿; 乘; ("買う"的敬语)买	[sound:SPXJ74765.mp3]
雌	めす	female (animal)	【名】  雌; 母; (骂)女人	[sound:SPXJ74767.mp3]
滅茶苦茶	めちゃくちゃ	absurd, unreasonable, excessive, messed up, spoiled, wreaked		[sound:SPXJ74797.mp3]
目付き	めつき	look, expression of the eyes, eyes	【名】  眼神(同めなざし)	
滅亡	めつぼう	downfall, ruin, collapse, destruction	【名】  【自サ】  灭亡	[sound:SPXJ74827.mp3]
愛でたい	めでたい	auspicious		
目眩	めまい	dizziness, giddiness		
目盛	めもり	scale, gradations		
面会	めんかい	interview	【名】  【自サ】  会见; 面会	[sound:SPXJ74962.mp3]
免除	めんじょ	exemption, exoneration, discharge	【名】  【他サ】  免除(义务, 责任等)	[sound:SPXJ74988.mp3]
面する	めんする	to face on, to look out on to	【自サ】  面对; 面临	[sound:SPXJ74997.mp3]
面目	めんぼく	face, honour, reputation, prestige, dignity, credit	【名】  面目; 脸面; 名誉; 威信	[sound:SPXJ75051.mp3]
設ける	もうける	to create, to establish	【他下一】  预备; 准备; 设置; 设立; 生; 得(子女)	[sound:SPXJ75125.mp3]
申し入れる	もうしいれる	to propose, to suggest	【他下一】  表明; 提出意见(要求, 建议)	[sound:SPXJ75144.mp3]
申し込み	もうしこみ	application, entry, request, subscription, offer, proposal, overture, challenge	【名】  提议; 提出希望; 申请; 应征; 预约	[sound:SPXJ75159.mp3]
申出	もうしで	proposal, request, claim, report, notice		
申し出る	もうしでる	to report to, to tell, to suggest, to submit, to request, to make an offer, to come forward with informati	【他下一】  提议; 申请; 表明	[sound:SPXJ75179.mp3]
申し分	もうしぶん	objection, shortcomings	【名】  欠缺; 缺点; 不满意的地方; 申辩的理由; 意见	[sound:SPXJ75185.mp3]
盲点	もうてん	blind spot	【名】  (眼球中的)盲点; 暗点; 漏洞; 空隙	
猛烈	もうれつ	violent, vehement, rage	【名】  【形動】  猛烈; 激烈	[sound:SPXJ75262.mp3]
藻掻く	もがく	to struggle, to wriggle, to be impatient		
目録	もくろく	catalogue, catalog, list	【名】  (书籍内容的)目次(同もくじ); (图书, 财产, 商品等的)目录(同カタログ); (礼品的)清单; 包着的赠金	[sound:SPXJ75368.mp3]
目論見	もくろみ	a plan, a scheme, a project, a program, intention, goal	【名】  计划; 策划; 意图	[sound:SPXJ75369.mp3]
模型	もけい	model, dummy, maquette	【名】  (用于展览, 实验, 研究的实物或抽象的)模型	[sound:SPXJ75373.mp3]
模索	もさく	groping (for)		[sound:SPXJ75381.mp3]
若し	もし	if, in case, supposing	【副】  如果; 假如; 假若	
若しかしたら	もしかしたら	perhaps, maybe, by some chance	【連語】  【副】  或许; 可能	
若しかして	もしかして	perhaps, possibly		
若しかすると	もしかすると	perhaps, maybe, by some chance		
若しくは	もしくは	or, otherwise	【接】  或; 或者(同あるいは)	
若しも	もしも	if	【副】  假使; 万一	
齎らす	もたらす	to bring, to take, to bring about		
凭れる	もたれる	to lean against, to lean on, to recline on, to lie heavy (on the stomach)		[sound:SPXJ75445.mp3]
持ち	もち	1. hold, charge, keep possession, in charge, 2. wear, durability, life, draw, 3. usage (suff)	【名】  持久性; 耐久性; 担任; 负责; 负担; 持有; 所有	[sound:SPXJ75451.mp3]
持ち切り	もちきり	hot topic, talk of the town		
物体ない	もったいない	too good, more than one deserves, wasteful, sacrilegious, unworthy of		
以て	もって	with, by, by means of, because, in view of	【連語】  以; 用; 拿; 因为; 根据; 用于  【接】  并且; 因而  【接尾】  用以构成副词	
専ら	もっぱら	wholly, solely, entirely	【副】  专门; 主要; 专擅; 独揽	[sound:SPXJ75595.mp3]
持て成す	もてなす	to entertain, to make welcome		
持てる	もてる	to be well liked, to be popular	【自下一】  能拿; 能保持; 受欢迎; 吃香	
基	もとい	basis	【名】  基础; 根源	[sound:SPXJ75634.mp3]
物置き	ものおき	storeroom	【名】  库房; 堆房(同なや)	
物好き	ものずき	curiosity	【名】  【形動】  好奇; 好事(者)	[sound:SPXJ75756.mp3]
物足りない	ものたりない	unsatisfied, unsatisfactory	【連語】  【形】  感到有点亏欠; 不能令人十分满意	
最早	もはや	already, now	【副】  (事到如今)已经	[sound:SPXJ75828.mp3]
模範	もはん	exemplar, exemplification, exemplum, model, example	【名】  模范; 榜样; 典型(同てほん)	[sound:SPXJ75829.mp3]
模倣	もほう	imitation, copying	【名】  【他サ】  模仿; 效仿	[sound:SPXJ75838.mp3]
揉める	もめる	to disagree, to dispute		[sound:SPXJ75872.mp3]
腿	もも	thigh, femur		
催す	もよおす	to hold (a meeting), to give (a dinner), to feel, to show signs of, to develop symptoms of, to feel (sick	【他五】  举办; 主办; 感觉(要...); 催促; 引诱  【自五】  有征兆; 萌起	[sound:SPXJ75914.mp3]
漏らす	もらす	to let leak, to reveal	【他五】  (光线, 水等)漏; 漏掉; 露出; 遗漏; 泄露; 透露; 流露; 发出; (小孩)尿床	[sound:SPXJ75939.mp3]
盛り上がる	もりあがる	to rouse, to swell, to rise	【自五】  凸起; 隆起; 涌起; 涌上来; (气氛)热烈; 高涨起来	[sound:SPXJ75951.mp3]
漏る	もる	to leak, to run out	【自五】  漏	[sound:SPXJ75983.mp3]
漏れる	もれる	to leak out, to escape, to come through, to shine through, to filter out, to be omitted	【自下一】  (水, 火等)漏; 漏出; 泄露; 走露; 遗漏; 漏掉; 被除外; 被淘汰	[sound:SPXJ75995.mp3]
脆い	もろい	brittle, fragile, tender-hearted	【形】  脆的; 易坏的; (感情)脆弱的; 不坚强的; 没有耐力的; 没有持久力的	[sound:SPXJ75996.mp3]
もろに	もろに	completely, all the way	【副】  彻底地; 完全地(同ねこそぎに, めちゃくちゃに)	
問	もん	problem, question		
矢	や	arrow	【名】  箭; 楔子(同くさび)	[sound:SPXJ76121.mp3]
哉	や	question mark		
喧しい	やかましい	noisy, strict, fussy	【形】  吵闹的; 喧闹的; 罗嗦的; 繁杂的; 难以取悦的; 严格的; 严厉的	[sound:SPXJ14489.mp3]
野外	やがい	fields, outskirts, open air, suburbs	【名】  野外; 郊外; 户外; 室外	[sound:SPXJ76158.mp3]
軈て	やがて	before long, soon, at length		
夜行	やぎょう	walking around at night, night train, night travel	【名】  【自サ】  夜行; 夜间的火车; 夜车	[sound:SPXJ76463.mp3]
役職	やくしょく	post, managerial position, official position	【名】  官职; 职务; 要职	[sound:SPXJ76326.mp3]
役立つ	やくだつ	to be useful, to be helpful, to serve the purpose	【自五】  有用; 有益	[sound:SPXJ76353.mp3]
役場	やくば	town hall	【名】  区(乡, 村)公所; 办事处	[sound:SPXJ76369.mp3]
夜具	やぐ	bedding	【名】  寝具; 卧具	[sound:SPXJ76274.mp3]
優	やさ	gentle, affectionate	【名】  (成绩四级制的)优秀	[sound:SPXJ77202.mp3]
屋敷	やしき	mansion	【名】  (房屋的)建筑用地; 房地; 公馆; 宅邸	[sound:SPXJ76501.mp3]
養う	やしなう	to rear, to maintain, to cultivate	【他五】  养育; 供养; 扶养; 饲养; 修养; 保养; 教养; 收养(子女); 疗养	[sound:SPXJ76511.mp3]
社	やしろ	Shinto shrine	【名】  神社; 庙	[sound:SPXJ32755.mp3]
野心	やしん	ambition, aspiration, designs, treachery	【名】  野心; 雄心; 阴谋	[sound:SPXJ76528.mp3]
易い	やすい	easy	【形】  容易的; 简单的(同やさしい)	[sound:SPXJ76535.mp3]
安っぽい	やすっぽい	cheap-looking, tawdry, insignificant	【形】  (瞧着)不值钱的; 不高尚的; 庸俗的	[sound:SPXJ76544.mp3]
休める	やすめる	to rest, to suspend, to give relief	【自下一】  可以休息; 能够休息  【他下一】  使休息; 使停歇; 把...停下; 使平静; 使安心; 使(农田)休耕	[sound:SPXJ76558.mp3]
野生	やせい	wild	【名】  野生	[sound:SPXJ76576.mp3]
矢鱈に	やたらに	randomly, recklessly, blindly		
夜中	やちゅう	all night, the whole night	【名】  夜半; 半夜	[sound:SPXJ76631.mp3]
奴	やっこ	servant, fellow	【名】  人; 家伙; (粗鲁地)指某物, 事例或情况  【代】  他; 那个家伙(同あいつ)	[sound:SPXJ76664.mp3]
やっ付ける	やっつける	to beat	【他下一】  (把工作)做完; (狠狠地)教训一顿	
矢っ張り	やっぱり	also, as I thought, still, in spite of, absolutely		
野党	やとう	opposition party	【名】  在野党	[sound:SPXJ76710.mp3]
病	やまい	illness, disease	【名】  病(同病気); 毛病; 怪癖	[sound:SPXJ76845.mp3]
闇	やみ	darkness, the dark, black-marketeering, dark, shady, illegal	【名】  (夜间的)黑暗; 辨别不清; 不知所措; 黑暗; 黑市; 黑货	[sound:SPXJ77029.mp3]
病む	やむ	to fall ill, to be ill	【自他五】  得病; 患病(同わずらう); 烦恼; 忧虑	[sound:SPXJ77055.mp3]
止むを得ない	やむをえない	cannot be helped, unavoidable	【連語】  不得已; 无可奈何	
稍	やや	a little, partially, somewhat, a short time, a while		
ややこしい	ややこしい	puzzling, tangled, complicated, complex	【形】  麻烦的; 难办的	[sound:SPXJ77072.mp3]
遣り通す	やりとおす	to carry through, to achieve, to complete	【他五】  做完; 完成	
やり遂げる	やりとげる	to accomplish		[sound:SPXJ77121.mp3]
遣る	やる	to do, to have sexual intercourse, to kill, to give (to inferiors animals etc.), to dispatch (a letter	【他五】  派遣; 送去; (对平辈, 晚辈或比自己低下的人或物)给予; 做; 表演; (维持)生活; 经营; 吃; 喝; 玩; 消遣; 学习; 研究; 划(船); 放(在某处)	[sound:SPXJ77138.mp3]
和らげる	やわらげる	to soften, to moderate, to relieve	【他下一】  使柔和; 使缓和	[sound:SPXJ77160.mp3]
優位	ゆうい	predominance, ascendancy, superiority	【名】  优越地位; 优势	[sound:SPXJ77217.mp3]
憂鬱	ゆううつ	depression, melancholy, dejection, gloom		
有益	ゆうえき	beneficial, profitable	【名】  【形動】  有益; 有意义	[sound:SPXJ77230.mp3]
優越	ゆうえつ	supremacy, predominance, being superior to	【名】  【自サ】  优越	[sound:SPXJ77231.mp3]
勇敢	ゆうかん	bravery, heroism, gallantry	【名】  【形動】  勇敢	[sound:SPXJ77267.mp3]
有機	ゆうき	organic	【名】  有机	[sound:SPXJ77273.mp3]
夕暮れ	ゆうぐれ	evening, (evening) twilight	【名】  黄昏; 傍晚	[sound:SPXJ77315.mp3]
融資	ゆうし	financing, loan	【名】  【自サ】  融资; 贷款	[sound:SPXJ77363.mp3]
有する	ゆうする	to own, to be endowed with	【他サ】  有	[sound:SPXJ77432.mp3]
融通	ゆうずう	lending (money), accommodation, adaptability, versatility, finance	【名】  【他サ】  通融(钱款); (头脑)灵活; 临机应变	[sound:SPXJ77423.mp3]
優勢	ゆうせい	superiority, superior power, predominance, preponderance	【名】  【形動】  优势	[sound:SPXJ77436.mp3]
優先	ゆうせん	preference, priority	【名】  【自サ】  优先	[sound:SPXJ77450.mp3]
誘導	ゆうどう	guidance, leading, induction, introduction, incitement, inducement	【名】  【他サ】  引导; 诱导; (电磁)感应; 衍生	[sound:SPXJ77490.mp3]
優美	ゆうび	grace, refinement, elegance	【名】  【形動】  优美	[sound:SPXJ77518.mp3]
有望	ゆうぼう	good prospects, full of hope, promising	【形動】  有希望; 有前途	[sound:SPXJ77558.mp3]
遊牧	ゆうぼく	nomadism	【名】  【自サ】  游牧	[sound:SPXJ77559.mp3]
夕焼け	ゆうやけ	sunset	【名】  晚霞	[sound:SPXJ77588.mp3]
有力	ゆうりょく	1. influence, prominence, 2. potent	【形動】  有势力; 有权威	[sound:SPXJ77622.mp3]
幽霊	ゆうれい	ghost, specter, apparition, phantom	【名】  幽灵; 鬼魂; 有名无实的事物	[sound:SPXJ77625.mp3]
誘惑	ゆうわく	temptation, allurement, lure	【名】  【他サ】  诱惑	[sound:SPXJ77631.mp3]
揺さぶる	ゆさぶる	to shake, to jolt, to rock, to swing	【他五】  摇动; 摇晃; 使...发生动摇	[sound:SPXJ77892.mp3]
茹でる	ゆでる	to boil		[sound:SPXJ78002.mp3]
ゆとり	ゆとり	reserve, affluence, room, time (to spare)	【名】  宽裕; 余地	[sound:SPXJ78010.mp3]
指差す	ゆびさす	to point at	【他五】  用手指; (用被动形式)受人指责(说坏话)	
弓	ゆみ	bow (and arrow)	【名】  弓; 弓形物	[sound:SPXJ78073.mp3]
揺らぐ	ゆらぐ	to swing, to sway, to shake, to tremble	【自五】  摇动; 晃荡; 摇摇欲坠; 岌岌可危	[sound:SPXJ78141.mp3]
緩む	ゆるむ	to become loose, to slacken	【自五】  松弛; 松懈; 缓和; 放宽; (固体等)软化; 稀释	[sound:SPXJ78182.mp3]
緩める	ゆるめる	to loosen, to slow down	【他下一】  放松; 松懈; 缓和; 放慢; 放宽; 稀释	[sound:SPXJ78185.mp3]
緩やか	ゆるやか	lenient	【形動】  缓慢; 缓和; 宽松; 宽大; 舒畅; 宽阔	[sound:SPXJ78186.mp3]
世	よ	world, society, age, generation	【名】  世; 世上; 人世; 一生; 一世; 时代; 年代; (生死轮回的)世	[sound:SPXJ78209.mp3]
好い	よい	good	【形】  好; 良好; 善良; 贵重; 高贵; 美丽; 漂亮; 爽朗; 明朗; 舒适; 恰当; 适当; 恰好; 好; 妥; 对; 成; 行; 可; 够了	[sound:SPXJ02787.mp3]
要因	よういん	primary factor, main cause	【名】  主要原因; 主要因素; 因数; 因子	[sound:SPXJ78289.mp3]
溶液	ようえき	solution (liquid)	【名】  溶液	[sound:SPXJ78293.mp3]
用件	ようけん	business	【名】  (应办的)事; 事情	[sound:SPXJ78374.mp3]
養護	ようご	protection, nursing, protective care	【名】  【他サ】  护养; 保育	[sound:SPXJ78382.mp3]
用紙	ようし	blank form	【名】  (特定用途的)纸张; 格式纸	[sound:SPXJ78408.mp3]
様式	ようしき	style, form, pattern	【名】  样式; 方式; 一定的形式; 格式	[sound:SPXJ78422.mp3]
要する	ようする	to demand, to require, to take	【他サ】  需要(同必要とする); 埋伏; 伏击	[sound:SPXJ78473.mp3]
要請	ようせい	claim, demand, request, application	【名】  【他サ】  请求; 要求; 先决条件; 必要条件	[sound:SPXJ78478.mp3]
養成	ようせい	training, development	【名】  【他サ】  培养; 造就	[sound:SPXJ78476.mp3]
様相	ようそう	aspect	【名】  样子; 情况; 样式; (逻辑的)论式	[sound:SPXJ78494.mp3]
用品	ようひん	articles, supplies, parts	【名】  用品; 用具	[sound:SPXJ78568.mp3]
洋風	ようふう	western style	【名】  西式; 洋式	[sound:SPXJ78578.mp3]
用法	ようほう	directions, rules of use	【名】  用法	[sound:SPXJ78592.mp3]
要望	ようぼう	demand for, request	【名】  【他サ】  要求; 迫切期望	[sound:SPXJ78595.mp3]
余暇	よか	leisure, leisure time, spare time	【名】  余暇; 业余时间	[sound:SPXJ78652.mp3]
予感	よかん	presentiment, premonition	【名】  【他サ】  预感; 预兆	[sound:SPXJ78665.mp3]
余興	よきょう	side show, entertainment	【名】  余兴	[sound:SPXJ78676.mp3]
預金	よきん	deposit, bank account	【名】  【自他サ】  存款	[sound:SPXJ78680.mp3]
抑圧	よくあつ	check, restraint, oppression, suppression	【名】  【他サ】  压制; 压迫(同おさえつける)	[sound:SPXJ78689.mp3]
浴室	よくしつ	bathroom, bath	【名】  浴室; 洗澡间	[sound:SPXJ78700.mp3]
抑制	よくせい	suppression	【名】  【他サ】  抑制; 制止	[sound:SPXJ78714.mp3]
欲深い	よくふかい	greedy		[sound:SPXJ78738.mp3]
欲望	よくぼう	desire, appetite	【名】  欲望	[sound:SPXJ78739.mp3]
寄こす	よこす	to send, to forward		
横綱	よこづな	sumo grand champion	【名】  (相扑)冠军大力士系在腰间标识身份的粗绳; (相扑)(冠军大力士的称号)"横网"; 超群; 出众	[sound:SPXJ78803.mp3]
葦	よし	reed, bulrush	【名】  芦苇	[sound:SPXJ78891.mp3]
善し悪し	よしあし	good or bad, merits or demerits, quality, suitability	【名】  善恶; 好歹; 也不好也不坏	[sound:SPXJ78897.mp3]
予想	よそう	expectation, anticipation, prediction, forecast	【名】  【他サ】  预料; 预测	[sound:SPXJ78979.mp3]
余所見	よそみ	looking away, looking aside	【名】  【自サ】  往旁处看(同わきみ); 别人瞧着	
余地	よち	place, room, margin, scope	【名】  空地(同あき地); 余地(同ゆとり; 余裕)	[sound:SPXJ79021.mp3]
依って	よって	therefore, consequently, accordingly, because of		[sound:SPXJ79045.mp3]
余程	よっぽど	very, greatly, much, to a large extent, quite	【副】  很; 颇; 很想...; 差一点就...	[sound:SPXJ79056.mp3]
与党	よとう	government party, (ruling) party in power, government	【名】  执政的政党; 志同道合的伙伴(同徒党)	[sound:SPXJ79073.mp3]
呼び止める	よびとめる	to challenge, to call somebody to halt	【他下一】  招呼使站住	[sound:SPXJ79162.mp3]
夜更かし	よふかし	staying up late, keeping late hours, sitting up late at night, nighthawk	【名】  【自サ】  熬夜	[sound:SPXJ79178.mp3]
夜更け	よふけ	late at night	【名】  深夜	[sound:SPXJ79180.mp3]
読み上げる	よみあげる	to read out loud (and clearly), to call a roll	【他下一】  宣读; 高声朗读; 读完; 念完	[sound:SPXJ79206.mp3]
寄り掛かる	よりかかる	to lean against, to recline on, to lean on, to rely on	【自五】  倚靠; 依赖	
宜しく	よろしく	well, properly, suitably, best regards, please remember me	【副】  适当; 应该; 应当; 请关照; 请指教	
弱まる	よわまる	to abate, to weaken, to be emaciated, to be dejected, to be perplexed	【自五】  变弱; 衰弱(同弱くなる)	[sound:SPXJ79454.mp3]
弱める	よわめる	to weaken	【他下一】  使衰弱; 减弱	[sound:SPXJ79457.mp3]
弱る	よわる	to weaken, to be troubled, to be downcast, to be emaciated, to be dejected, to be perplexed, to impair	【自五】  软弱; 衰弱; 沮丧; 困窘	[sound:SPXJ79473.mp3]
来場	らいじょう	attendance	【名】  【自サ】  到场; 出席	[sound:SPXJ79528.mp3]
酪農	らくのう	dairy (farm)	【名】  奶酪畜牧业	[sound:SPXJ79651.mp3]
落下	らっか	fall, drop, come down	【名】  【自サ】  下降; 落下	[sound:SPXJ79705.mp3]
楽観	らっかん	optimism	【名】  【他サ】  乐观	[sound:SPXJ79711.mp3]
濫用	らんよう	abuse, misuse, misappropriation, using to excess	【名】  【他サ】  滥用; 乱用	
理屈	りくつ	theory, reason	【名】  理由; 道理; 歪理; 借口	[sound:SPXJ80006.mp3]
利根	りこん	intelligence		
利子	りし	interest (bank)	【名】  利息; 利钱	[sound:SPXJ80049.mp3]
利潤	りじゅん	profit, returns	【名】  利润; 红利	[sound:SPXJ80058.mp3]
理性	りせい	reason, sense	【名】  理性	[sound:SPXJ80080.mp3]
利息	りそく	interest (bank)	【名】  利息; 利钱	[sound:SPXJ80096.mp3]
立体	りったい	solid body	【名】  立体	[sound:SPXJ80157.mp3]
立法	りっぽう	legislation, lawmaking	【名】  立法	[sound:SPXJ80172.mp3]
利点	りてん	advantage, point in favor	【名】  优点; 长处	[sound:SPXJ80189.mp3]
略語	りゃくご	abbreviation, acronym	【名】  略语; 简语	[sound:SPXJ80277.mp3]
略奪	りゃくだつ	pillage, plunder, looting, robbery	【名】  【他サ】  掠夺; 抢夺	[sound:SPXJ80295.mp3]
流	りゅう	styleof, method of, manner of	【接尾】  流派; 式; 型; 级; 等级	[sound:SPXJ80311.mp3]
流通	りゅうつう	circulation of money or goods, flow of water or air, distribution	【名】  【自サ】  流通; (货币, 商品的)流通	[sound:SPXJ80399.mp3]
了	りょう	finish, completion, understanding		[sound:SPXJ80454.mp3]
料	りょう	material, charge, rate, fee	【造語】  材料; 费用	[sound:SPXJ80453.mp3]
領域	りょういき	area, domain, territory, field, region, regime	【名】  领域; 范围	[sound:SPXJ80460.mp3]
了解	りょうかい	comprehension, consent, understanding, roger (on the radio)	【名】  【他サ】  了解; 领会	[sound:SPXJ80473.mp3]
領海	りょうかい	territorial waters	【名】  领海	[sound:SPXJ80472.mp3]
両極	りょうきょく	both extremities, north and south poles, positive and negative poles	【名】  两极; 南北极; 两端	[sound:SPXJ80496.mp3]
良好	りょうこう	favorable, satisfactory	【名】  【形動】  良好; 优秀	[sound:SPXJ80523.mp3]
良識	りょうしき	good sense	【名】  正确的见识	[sound:SPXJ80545.mp3]
良質	りょうしつ	good quality, superior quality	【名】  【形動】  质量良好; 上等	[sound:SPXJ80546.mp3]
了承	りょうしょう	acknowledgement, understanding (e.g. please be understanding of the mess during our renovation)	【名】  【他サ】  知道; 晓得	[sound:SPXJ80562.mp3]
良心	りょうしん	conscience	【名】  良心	[sound:SPXJ80569.mp3]
領地	りょうち	territory, dominion	【名】  领土; (封建主的)领地	[sound:SPXJ80592.mp3]
領土	りょうど	dominion, territory, possession	【名】  领土	[sound:SPXJ80604.mp3]
両立	りょうりつ	compatibility, coexistence, standing together	【名】  【自サ】  两立; 并存	[sound:SPXJ80680.mp3]
旅客	りょかく	passenger (transport)	【名】  旅客	[sound:SPXJ80697.mp3]
旅券	りょけん	passport	【名】  (出国旅行的)护照	[sound:SPXJ80728.mp3]
履歴	りれき	personal history, background, career, log	【名】  履历; 经历	[sound:SPXJ80771.mp3]
理論	りろん	theory	【名】  理论	[sound:SPXJ80775.mp3]
輪	りん	counter for wheels and flowers	【名】  圈; 箍; 环节; 轮子	[sound:SPXJ82088.mp3]
林業	りんぎょう	forestry	【名】  林业	[sound:SPXJ80799.mp3]
類似	るいじ	analogous	【名】  【自サ】  类似; 相似	[sound:SPXJ80928.mp3]
類推	るいすい	analogy	【名】  【他サ】  类推; 类比推理	[sound:SPXJ80941.mp3]
冷酷	れいこく	cruelty, coldheartedness, relentless, ruthless	【名】  【形動】  冷酷无情	[sound:SPXJ81093.mp3]
冷蔵	れいぞう	cold storage, refrigeration	【名】  【他サ】  冷藏; 冷冻	[sound:SPXJ81145.mp3]
冷淡	れいたん	coolness, indifference	【名】  【形動】  冷淡; 冷漠; 不热情; 不亲热	[sound:SPXJ81152.mp3]
恋愛	れんあい	love, love-making, passion, emotion, affections	【名】  【自サ】  恋爱(同こい)	[sound:SPXJ81396.mp3]
連休	れんきゅう	consecutive holidays	【名】  连续的假日	[sound:SPXJ81407.mp3]
連日	れんじつ	every day, prolonged	【名】  连日; 接连几天	[sound:SPXJ81453.mp3]
連中	れんじゅう	colleagues, company, a lot	【名】  伙伴; 一群人; 一伙人	[sound:SPXJ81459.mp3]
連帯	れんたい	solidarity	【名】  【自サ】  团结(一致); 协力合作; 共同负责	[sound:SPXJ81483.mp3]
連邦	れんぽう	commonwealth, federation of states	【名】  联邦	[sound:SPXJ81536.mp3]
連盟	れんめい	league, union, alliance	【名】  联盟; 联合会	[sound:SPXJ81539.mp3]
老衰	ろうすい	senility, senile decay	【名】  【自サ】  衰老	[sound:SPXJ81677.mp3]
朗読	ろうどく	reading aloud, recitation	【名】  【他サ】  朗读; 朗诵	[sound:SPXJ81731.mp3]
浪費	ろうひ	waste, extravagance	【名】  【他サ】  浪费(同むだづかい)	[sound:SPXJ81751.mp3]
労力	ろうりょく	labour, effort, toil, trouble	【名】  费力; 出力(同ほねおり); 劳动力; 劳力	[sound:SPXJ81801.mp3]
碌な	ろくな	satisfactory, decent		
碌に	ろくに	well, enough, sufficient		
露骨	ろこつ	1. frank, blunt, plain, outspoken, 2. conspicuous, open, 3. broad, suggestive	【名】  【形動】  露骨; 直率; 毫不留情; 赤裸裸	[sound:SPXJ81906.mp3]
論議	ろんぎ	discussion	【名】  【他サ】  议论; 争论	[sound:SPXJ82028.mp3]
論理	ろんり	logic	【名】  逻辑; 道理; 规律	[sound:SPXJ82084.mp3]
和	わ	sum, harmony, peace	【名】  和好; 和睦; 总和	[sound:SPXJ54863.mp3]
我がまま	わがまま	selfishness, egoism, wilfulness, disobedience, whim		
枠	わく	frame, slide	【名】  框; 框子; (书等的)边; 范围; 界限	[sound:SPXJ82303.mp3]
惑星	わくせい	planet	【名】  行星; 游星; 前途不可限量的人	[sound:SPXJ82311.mp3]
技	わざ	art, technique	【名】  技巧; 演技	[sound:SPXJ16446.mp3]
態と	わざと	on purpose	【副】  故意地(同こいに); 特意地; 有意	
態々	わざわざ	expressly, specially, doing something especially rather than incidentally		
煩わしい	わずらわしい	troublesome, annoying, complicated	【形】  厌烦的; 心烦的; 麻烦的; 繁琐的	[sound:SPXJ82407.mp3]
渡り鳥	わたりどり	migratory bird, bird of passage	【名】  候鸟; 从外国引进的鸟; 到处奔走谋生的人	[sound:SPXJ82502.mp3]
詫び	わび	apology	【名】  赔不是; 道歉	
和風	わふう	Japanese style	【名】  和风; 微风; 日本式; 日本风俗	[sound:SPXJ82557.mp3]
和文	わぶん	Japanese text, sentence in Japanese	【名】  日文(同こくぶん)	[sound:SPXJ82559.mp3]
藁	わら	straw	【名】  稻草; 麦秆	[sound:SPXJ82579.mp3]
割合に	わりあいに	comparatively	【副】  比较地	
割り当て	わりあて	allotment, assignment, allocation, quota, rationing	【名】  分配; 分摊; 分派; 分担(任务)	[sound:SPXJ82648.mp3]
割り込む	わりこむ	to cut in, to thrust oneself into, to wedge oneself in, to muscle in on, to interrupt, to disturb	【自他五】  挤进; 硬加入; 插嘴; (股市)下跌	[sound:SPXJ82664.mp3]
割り算	わりざん	division (math)	【名】  除法	[sound:SPXJ82666.mp3]
割引き	わりびき	discount, reduction, rebate, tenths discounted		
悪者	わるもの	bad fellow, rascal, ruffian, scoundrel	【名】  坏蛋; 恶棍	[sound:SPXJ82728.mp3]
アイデア	アイデア	idea		[sound:SPXJ00163.mp3]
アクセル	アクセル	accelerator	<font color=blue size=4>アクセル  1  (英) accelerator  加速器	[sound:SPXJ00714.mp3]
アップ	アップ	up	<font color=blue size=4>アップ  1  (英) up  向上; 举起; 夺取	[sound:SPXJ01501.mp3]
